,Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Imputed,Married_Imputed,Dependents_Imputed,Education_Imputed,Self_Employed_Imputed,Property_Area_Imputed
0,LP001002,5849,0.0,146.41216216216216,360.0,1.0,Y,1,0,0,0,0,2
1,LP001003,4583,1508.0,128.0,360.0,1.0,N,1,1,1,0,0,0
2,LP001005,3000,0.0,66.0,360.0,1.0,Y,1,1,0,0,1,2
3,LP001006,2583,2358.0,120.0,360.0,1.0,Y,1,1,0,1,0,2
4,LP001008,6000,0.0,141.0,360.0,1.0,Y,1,0,0,0,0,2
5,LP001011,5417,4196.0,267.0,360.0,1.0,Y,1,1,2,0,1,2
6,LP001013,2333,1516.0,95.0,360.0,1.0,Y,1,1,0,1,0,2
7,LP001014,3036,2504.0,158.0,360.0,0.0,N,1,1,3,0,0,1
8,LP001018,4006,1526.0,168.0,360.0,1.0,Y,1,1,2,0,0,2
9,LP001020,12841,10968.0,349.0,360.0,1.0,N,1,1,1,0,0,1
10,LP001024,3200,700.0,70.0,360.0,1.0,Y,1,1,2,0,0,2
11,LP001027,2500,1840.0,109.0,360.0,1.0,Y,1,1,2,0,0,2
12,LP001028,3073,8106.0,200.0,360.0,1.0,Y,1,1,2,0,0,2
13,LP001029,1853,2840.0,114.0,360.0,1.0,N,1,0,0,0,0,0
14,LP001030,1299,1086.0,17.0,120.0,1.0,Y,1,1,2,0,0,2
15,LP001032,4950,0.0,125.0,360.0,1.0,Y,1,0,0,0,0,2
16,LP001034,3596,0.0,100.0,240.0,0.8421985815602837,Y,1,0,1,1,0,2
17,LP001036,3510,0.0,76.0,360.0,0.0,N,0,0,0,0,0,2
18,LP001038,4887,0.0,133.0,360.0,1.0,N,1,1,0,1,0,0
19,LP001041,2600,3500.0,115.0,342.0,1.0,Y,1,1,0,0,0,2
20,LP001043,7660,0.0,104.0,360.0,0.0,N,1,1,0,1,0,2
21,LP001046,5955,5625.0,315.0,360.0,1.0,Y,1,1,1,0,0,2
22,LP001047,2600,1911.0,116.0,360.0,0.0,N,1,1,0,1,0,1
23,LP001050,3365,1917.0,112.0,360.0,0.0,N,1,1,2,1,0,0
24,LP001052,3717,2925.0,151.0,360.0,0.8421985815602837,N,1,1,1,0,0,1
25,LP001066,9560,0.0,191.0,360.0,1.0,Y,1,1,0,0,1,1
26,LP001068,2799,2253.0,122.0,360.0,1.0,Y,1,1,0,0,0,1
27,LP001073,4226,1040.0,110.0,360.0,1.0,Y,1,1,2,1,0,2
28,LP001086,1442,0.0,35.0,360.0,1.0,N,1,0,0,1,0,2
29,LP001087,3750,2083.0,120.0,360.0,1.0,Y,0,0,2,0,0,1
30,LP001091,4166,3369.0,201.0,360.0,0.8421985815602837,N,1,1,1,0,0,2
31,LP001095,3167,0.0,74.0,360.0,1.0,N,1,0,0,0,0,2
32,LP001097,4692,0.0,106.0,360.0,1.0,N,1,0,1,0,1,0
33,LP001098,3500,1667.0,114.0,360.0,1.0,Y,1,1,0,0,0,1
34,LP001100,12500,3000.0,320.0,360.0,1.0,N,1,0,3,0,0,0
35,LP001106,2275,2067.0,146.41216216216216,360.0,1.0,Y,1,1,0,0,0,2
36,LP001109,1828,1330.0,100.0,342.0,0.0,N,1,1,0,0,0,2
37,LP001112,3667,1459.0,144.0,360.0,1.0,Y,0,1,0,0,0,1
38,LP001114,4166,7210.0,184.0,360.0,1.0,Y,1,0,0,0,0,2
39,LP001116,3748,1668.0,110.0,360.0,1.0,Y,1,0,0,1,0,1
40,LP001119,3600,0.0,80.0,360.0,1.0,N,1,0,0,0,0,2
41,LP001120,1800,1213.0,47.0,360.0,1.0,Y,1,0,0,0,0,2
42,LP001123,2400,0.0,75.0,360.0,0.8421985815602837,Y,1,1,0,0,0,2
43,LP001131,3941,2336.0,134.0,360.0,1.0,Y,1,1,0,0,0,1
44,LP001136,4695,0.0,96.0,342.0,1.0,Y,1,1,0,1,1,2
45,LP001137,3410,0.0,88.0,342.0,1.0,Y,0,0,0,0,0,2
46,LP001138,5649,0.0,44.0,360.0,1.0,Y,1,1,1,0,0,2
47,LP001144,5821,0.0,144.0,360.0,1.0,Y,1,1,0,0,0,2
48,LP001146,2645,3440.0,120.0,360.0,0.0,N,0,1,0,0,0,2
49,LP001151,4000,2275.0,144.0,360.0,1.0,Y,0,0,0,0,0,1
50,LP001155,1928,1644.0,100.0,360.0,1.0,Y,0,1,0,1,0,1
51,LP001157,3086,0.0,120.0,360.0,1.0,Y,0,0,0,0,0,1
52,LP001164,4230,0.0,112.0,360.0,1.0,N,0,0,0,0,0,1
53,LP001179,4616,0.0,134.0,360.0,1.0,N,1,1,2,0,0,2
54,LP001186,11500,0.0,286.0,360.0,0.0,N,0,1,1,0,1,2
55,LP001194,2708,1167.0,97.0,360.0,1.0,Y,1,1,2,0,0,1
56,LP001195,2132,1591.0,96.0,360.0,1.0,Y,1,1,0,0,0,1
57,LP001197,3366,2200.0,135.0,360.0,1.0,N,1,1,0,0,0,0
58,LP001198,8080,2250.0,180.0,360.0,1.0,Y,1,1,1,0,0,2
59,LP001199,3357,2859.0,144.0,360.0,1.0,Y,1,1,2,1,0,2
60,LP001205,2500,3796.0,120.0,360.0,1.0,Y,1,1,0,0,0,2
61,LP001206,3029,0.0,99.0,360.0,1.0,Y,1,1,3,0,0,2
62,LP001207,2609,3449.0,165.0,180.0,0.0,N,1,1,0,1,1,0
63,LP001213,4945,0.0,146.41216216216216,360.0,0.0,N,1,1,1,0,0,0
64,LP001222,4166,0.0,116.0,360.0,0.0,N,0,0,0,0,0,1
65,LP001225,5726,4595.0,258.0,360.0,1.0,N,1,1,0,0,0,1
66,LP001228,3200,2254.0,126.0,180.0,0.0,N,1,0,0,1,0,2
67,LP001233,10750,0.0,312.0,360.0,1.0,Y,1,1,1,0,0,2
68,LP001238,7100,0.0,125.0,60.0,1.0,Y,1,1,3,1,1,2
69,LP001241,4300,0.0,136.0,360.0,0.0,N,0,0,0,0,0,1
70,LP001243,3208,3066.0,172.0,360.0,1.0,Y,1,1,0,0,0,2
71,LP001245,1875,1875.0,97.0,360.0,1.0,Y,1,1,2,1,1,1
72,LP001248,3500,0.0,81.0,300.0,1.0,Y,1,0,0,0,0,1
73,LP001250,4755,0.0,95.0,342.0,0.0,N,1,1,3,1,0,1
74,LP001253,5266,1774.0,187.0,360.0,1.0,Y,1,1,3,0,1,1
75,LP001255,3750,0.0,113.0,480.0,1.0,N,1,0,0,0,0,2
76,LP001256,3750,4750.0,176.0,360.0,1.0,N,1,0,0,0,0,2
77,LP001259,1000,3022.0,110.0,360.0,1.0,N,1,1,1,0,1,2
78,LP001263,3167,4000.0,180.0,300.0,0.0,N,1,1,3,0,0,1
79,LP001264,3333,2166.0,130.0,360.0,0.8421985815602837,Y,1,1,3,1,1,1
80,LP001265,3846,0.0,111.0,360.0,1.0,Y,0,0,0,0,0,1
81,LP001266,2395,0.0,146.41216216216216,360.0,1.0,Y,1,1,1,0,1,1
82,LP001267,1378,1881.0,167.0,360.0,1.0,N,0,1,2,0,0,2
83,LP001273,6000,2250.0,265.0,360.0,0.8421985815602837,N,1,1,0,0,0,1
84,LP001275,3988,0.0,50.0,240.0,1.0,Y,1,1,1,0,0,2
85,LP001279,2366,2531.0,136.0,360.0,1.0,Y,1,0,0,0,0,1
86,LP001280,3333,2000.0,99.0,360.0,0.8421985815602837,Y,1,1,2,1,0,1
87,LP001282,2500,2118.0,104.0,360.0,1.0,Y,1,1,0,0,0,1
88,LP001289,8566,0.0,210.0,360.0,1.0,Y,1,0,0,0,0,2
89,LP001310,5695,4167.0,175.0,360.0,1.0,Y,1,1,0,0,0,1
90,LP001316,2958,2900.0,131.0,360.0,1.0,Y,1,1,0,0,0,1
91,LP001318,6250,5654.0,188.0,180.0,1.0,Y,1,1,2,0,0,1
92,LP001319,3273,1820.0,81.0,360.0,1.0,Y,1,1,2,1,0,2
93,LP001322,4133,0.0,122.0,360.0,1.0,Y,1,0,0,0,0,1
94,LP001325,3620,0.0,25.0,120.0,1.0,Y,1,0,0,1,0,1
95,LP001326,6782,0.0,146.41216216216216,360.0,0.8421985815602837,N,1,0,0,0,0,2
96,LP001327,2484,2302.0,137.0,360.0,1.0,Y,0,1,0,0,0,1
97,LP001333,1977,997.0,50.0,360.0,1.0,Y,1,1,0,0,0,1
98,LP001334,4188,0.0,115.0,180.0,1.0,Y,1,1,0,1,0,1
99,LP001343,1759,3541.0,131.0,360.0,1.0,Y,1,1,0,0,0,1
100,LP001345,4288,3263.0,133.0,180.0,1.0,Y,1,1,2,1,0,2
101,LP001349,4843,3806.0,151.0,360.0,1.0,Y,1,0,0,0,0,1
102,LP001350,13650,0.0,146.41216216216216,360.0,1.0,Y,1,1,0,0,0,2
103,LP001356,4652,3583.0,146.41216216216216,360.0,1.0,Y,1,1,0,0,0,1
104,LP001357,3816,754.0,160.0,360.0,1.0,Y,1,1,0,0,0,2
105,LP001367,3052,1030.0,100.0,360.0,1.0,Y,1,1,1,0,0,2
106,LP001369,11417,1126.0,225.0,360.0,1.0,Y,1,1,2,0,0,2
107,LP001370,7333,0.0,120.0,360.0,1.0,N,1,0,0,1,0,0
108,LP001379,3800,3600.0,216.0,360.0,0.0,N,1,1,2,0,0,2
109,LP001384,2071,754.0,94.0,480.0,1.0,Y,1,1,3,1,0,1
110,LP001385,5316,0.0,136.0,360.0,1.0,Y,1,0,0,0,0,2
111,LP001387,2929,2333.0,139.0,360.0,1.0,Y,0,1,0,0,0,1
112,LP001391,3572,4114.0,152.0,342.0,0.0,N,1,1,0,1,0,0
113,LP001392,7451,0.0,146.41216216216216,360.0,1.0,Y,0,0,1,0,1,1
114,LP001398,5050,0.0,118.0,360.0,1.0,Y,1,0,0,0,0,1
115,LP001401,14583,0.0,185.0,180.0,1.0,Y,1,1,1,0,0,0
116,LP001404,3167,2283.0,154.0,360.0,1.0,Y,0,1,0,0,0,1
117,LP001405,2214,1398.0,85.0,360.0,0.8421985815602837,Y,1,1,1,0,0,2
118,LP001421,5568,2142.0,175.0,360.0,1.0,N,1,1,0,0,0,0
119,LP001422,10408,0.0,259.0,360.0,1.0,Y,0,0,0,0,0,2
120,LP001426,5667,2667.0,180.0,360.0,1.0,Y,1,1,0,0,0,0
121,LP001430,4166,0.0,44.0,360.0,1.0,Y,0,0,0,0,0,1
122,LP001431,2137,8980.0,137.0,360.0,0.0,Y,0,0,0,0,0,1
123,LP001432,2957,0.0,81.0,360.0,1.0,Y,1,1,2,0,0,1
124,LP001439,4300,2014.0,194.0,360.0,1.0,Y,1,1,0,1,0,0
125,LP001443,3692,0.0,93.0,360.0,0.8421985815602837,Y,0,0,0,0,0,0
126,LP001448,23803,0.0,370.0,360.0,1.0,Y,1,1,3,0,0,0
127,LP001449,3865,1640.0,146.41216216216216,360.0,1.0,Y,1,0,0,0,0,0
128,LP001451,10513,3850.0,160.0,180.0,0.0,N,1,1,1,0,1,2
129,LP001465,6080,2569.0,182.0,360.0,0.8421985815602837,N,1,1,0,0,0,0
130,LP001469,20166,0.0,650.0,480.0,0.8421985815602837,Y,1,0,0,0,1,2
131,LP001473,2014,1929.0,74.0,360.0,1.0,Y,1,0,0,0,0,2
132,LP001478,2718,0.0,70.0,360.0,1.0,Y,1,0,0,0,0,1
133,LP001482,3459,0.0,25.0,120.0,1.0,Y,1,1,0,0,1,1
134,LP001487,4895,0.0,102.0,360.0,1.0,Y,1,0,0,0,0,1
135,LP001488,4000,7750.0,290.0,360.0,1.0,N,1,1,3,0,0,1
136,LP001489,4583,0.0,84.0,360.0,1.0,N,0,1,0,0,0,0
137,LP001491,3316,3500.0,88.0,360.0,1.0,Y,1,1,2,0,1,2
138,LP001492,14999,0.0,242.0,360.0,0.0,N,1,0,0,0,0,1
139,LP001493,4200,1430.0,129.0,360.0,1.0,N,1,1,2,1,0,0
140,LP001497,5042,2083.0,185.0,360.0,1.0,N,1,1,2,0,0,0
141,LP001498,5417,0.0,168.0,360.0,1.0,Y,1,0,0,0,0,2
142,LP001504,6950,0.0,175.0,180.0,1.0,Y,1,0,0,0,1,1
143,LP001507,2698,2034.0,122.0,360.0,1.0,Y,1,1,0,0,0,1
144,LP001508,11757,0.0,187.0,180.0,1.0,Y,1,1,2,0,0,2
145,LP001514,2330,4486.0,100.0,360.0,1.0,Y,0,1,0,0,0,1
146,LP001516,14866,0.0,70.0,360.0,1.0,Y,0,1,2,0,0,2
147,LP001518,1538,1425.0,30.0,360.0,1.0,Y,1,1,1,0,0,2
148,LP001519,10000,1666.0,225.0,360.0,1.0,N,0,0,0,0,0,0
149,LP001520,4860,830.0,125.0,360.0,1.0,Y,1,1,0,0,0,1
150,LP001528,6277,0.0,118.0,360.0,0.0,N,1,0,0,0,0,0
151,LP001529,2577,3750.0,152.0,360.0,1.0,Y,1,1,0,0,1,0
152,LP001531,9166,0.0,244.0,360.0,1.0,N,1,0,0,0,0,2
153,LP001532,2281,0.0,113.0,360.0,1.0,N,1,1,2,1,0,0
154,LP001535,3254,0.0,50.0,360.0,1.0,Y,1,0,0,0,0,2
155,LP001536,39999,0.0,600.0,180.0,0.0,Y,1,1,3,0,0,1
156,LP001541,6000,0.0,160.0,360.0,0.8421985815602837,Y,1,1,1,0,0,0
157,LP001543,9538,0.0,187.0,360.0,1.0,Y,1,1,1,0,0,2
158,LP001546,2980,2083.0,120.0,360.0,1.0,Y,1,0,0,0,0,0
159,LP001552,4583,5625.0,255.0,360.0,1.0,Y,1,1,0,0,0,1
160,LP001560,1863,1041.0,98.0,360.0,1.0,Y,1,1,0,1,0,1
161,LP001562,7933,0.0,275.0,360.0,1.0,N,1,1,0,0,0,2
162,LP001565,3089,1280.0,121.0,360.0,0.0,N,1,1,1,0,0,1
163,LP001570,4167,1447.0,158.0,360.0,1.0,Y,1,1,2,0,0,0
164,LP001572,9323,0.0,75.0,180.0,1.0,Y,1,1,0,0,0,2
165,LP001574,3707,3166.0,182.0,342.0,1.0,Y,1,1,0,0,0,0
166,LP001577,4583,0.0,112.0,360.0,1.0,N,0,1,0,0,0,0
167,LP001578,2439,3333.0,129.0,360.0,1.0,Y,1,1,0,0,0,0
168,LP001579,2237,0.0,63.0,480.0,0.0,N,1,0,0,0,0,1
169,LP001580,8000,0.0,200.0,360.0,1.0,Y,1,1,2,0,0,1
170,LP001581,1820,1769.0,95.0,360.0,1.0,Y,1,1,0,1,0,0
171,LP001585,51763,0.0,700.0,300.0,1.0,Y,1,1,3,0,0,2
172,LP001586,3522,0.0,81.0,180.0,1.0,N,1,1,3,1,0,0
173,LP001594,5708,5625.0,187.0,360.0,1.0,Y,1,1,0,0,0,1
174,LP001603,4344,736.0,87.0,360.0,1.0,N,1,1,0,1,1,1
175,LP001606,3497,1964.0,116.0,360.0,1.0,Y,1,1,0,0,0,0
176,LP001608,2045,1619.0,101.0,360.0,1.0,Y,1,1,2,0,0,0
177,LP001610,5516,11300.0,495.0,360.0,0.0,N,1,1,3,0,0,1
178,LP001616,3750,0.0,116.0,360.0,1.0,Y,1,1,1,0,0,1
179,LP001630,2333,1451.0,102.0,480.0,0.0,N,1,0,0,1,0,2
180,LP001633,6400,7250.0,180.0,360.0,0.0,N,1,1,1,0,0,2
181,LP001634,1916,5063.0,67.0,360.0,0.8421985815602837,N,1,0,0,0,0,0
182,LP001636,4600,0.0,73.0,180.0,1.0,Y,1,1,0,0,0,1
183,LP001637,33846,0.0,260.0,360.0,1.0,N,1,1,1,0,0,1
184,LP001639,3625,0.0,108.0,360.0,1.0,Y,0,1,0,0,0,1
185,LP001640,39147,4750.0,120.0,360.0,1.0,Y,1,1,0,0,1,1
186,LP001641,2178,0.0,66.0,300.0,0.0,N,1,1,1,0,1,0
187,LP001643,2383,2138.0,58.0,360.0,0.8421985815602837,Y,1,1,0,0,0,0
188,LP001644,674,5296.0,168.0,360.0,1.0,Y,1,1,0,0,1,0
189,LP001647,9328,0.0,188.0,180.0,1.0,Y,1,1,0,0,0,0
190,LP001653,4885,0.0,48.0,360.0,1.0,Y,1,0,0,1,0,0
191,LP001656,12000,0.0,164.0,360.0,1.0,N,1,0,0,0,0,1
192,LP001657,6033,0.0,160.0,360.0,1.0,N,1,1,0,1,0,2
193,LP001658,3858,0.0,76.0,360.0,1.0,Y,1,0,0,0,0,1
194,LP001664,4191,0.0,120.0,360.0,1.0,Y,1,0,0,0,0,0
195,LP001665,3125,2583.0,170.0,360.0,1.0,N,1,1,1,0,0,1
196,LP001666,8333,3750.0,187.0,360.0,1.0,Y,1,0,0,0,0,0
197,LP001669,1907,2365.0,120.0,342.0,1.0,Y,0,0,0,1,0,2
198,LP001671,3416,2816.0,113.0,360.0,0.8421985815602837,Y,0,1,0,0,0,1
199,LP001673,11000,0.0,83.0,360.0,1.0,N,1,0,0,0,1,2
200,LP001674,2600,2500.0,90.0,360.0,1.0,Y,1,1,1,1,0,1
201,LP001677,4923,0.0,166.0,360.0,0.0,Y,1,0,2,0,0,1
202,LP001682,3992,0.0,146.41216216216216,180.0,1.0,N,1,1,3,1,0,2
203,LP001688,3500,1083.0,135.0,360.0,1.0,Y,1,1,1,1,0,2
204,LP001691,3917,0.0,124.0,360.0,1.0,Y,1,1,2,1,0,1
205,LP001692,4408,0.0,120.0,360.0,1.0,Y,0,0,0,1,0,1
206,LP001693,3244,0.0,80.0,360.0,1.0,Y,0,0,0,0,0,2
207,LP001698,3975,2531.0,55.0,360.0,1.0,Y,1,0,0,1,0,0
208,LP001699,2479,0.0,59.0,360.0,1.0,Y,1,0,0,0,0,2
209,LP001702,3418,0.0,127.0,360.0,1.0,N,1,0,0,0,0,1
210,LP001708,10000,0.0,214.0,360.0,1.0,N,0,0,0,0,0,1
211,LP001711,3430,1250.0,128.0,360.0,0.0,N,1,1,3,0,0,1
212,LP001713,7787,0.0,240.0,360.0,1.0,Y,1,1,1,0,1,2
213,LP001715,5703,0.0,130.0,360.0,1.0,Y,1,1,3,1,1,0
214,LP001716,3173,3021.0,137.0,360.0,1.0,Y,1,1,0,0,0,2
215,LP001720,3850,983.0,100.0,360.0,1.0,Y,1,1,3,1,0,1
216,LP001722,150,1800.0,135.0,360.0,1.0,N,1,1,0,0,0,0
217,LP001726,3727,1775.0,131.0,360.0,1.0,Y,1,1,0,0,0,1
218,LP001732,5000,0.0,72.0,360.0,0.0,N,1,1,2,0,0,1
219,LP001734,4283,2383.0,127.0,360.0,0.8421985815602837,Y,0,1,2,0,0,1
220,LP001736,2221,0.0,60.0,360.0,0.0,N,1,1,0,0,0,2
221,LP001743,4009,1717.0,116.0,360.0,1.0,Y,1,1,2,0,0,1
222,LP001744,2971,2791.0,144.0,360.0,1.0,Y,1,0,0,0,0,1
223,LP001749,7578,1010.0,175.0,342.0,1.0,Y,1,1,0,0,0,1
224,LP001750,6250,0.0,128.0,360.0,1.0,Y,1,1,0,0,0,1
225,LP001751,3250,0.0,170.0,360.0,1.0,N,1,1,0,0,0,0
226,LP001754,4735,0.0,138.0,360.0,1.0,N,1,1,0,1,1,2
227,LP001758,6250,1695.0,210.0,360.0,1.0,Y,1,1,2,0,0,1
228,LP001760,4758,0.0,158.0,480.0,1.0,Y,1,1,0,0,0,1
229,LP001761,6400,0.0,200.0,360.0,1.0,Y,1,0,0,0,1,0
230,LP001765,2491,2054.0,104.0,360.0,1.0,Y,1,1,1,0,0,1
231,LP001768,3716,0.0,42.0,180.0,1.0,Y,1,1,0,0,0,0
232,LP001770,3189,2598.0,120.0,342.0,1.0,Y,1,0,0,1,0,0
233,LP001776,8333,0.0,280.0,360.0,1.0,Y,0,0,0,0,0,1
234,LP001778,3155,1779.0,140.0,360.0,1.0,Y,1,1,1,0,0,1
235,LP001784,5500,1260.0,170.0,360.0,1.0,Y,1,1,1,0,0,0
236,LP001786,5746,0.0,255.0,360.0,0.8421985815602837,N,1,1,0,0,0,2
237,LP001788,3463,0.0,122.0,360.0,0.8421985815602837,Y,0,0,0,0,1,2
238,LP001790,3812,0.0,112.0,360.0,1.0,Y,0,0,1,0,0,0
239,LP001792,3315,0.0,96.0,360.0,1.0,Y,1,1,1,0,0,1
240,LP001798,5819,5000.0,120.0,360.0,1.0,Y,1,1,2,0,0,0
241,LP001800,2510,1983.0,140.0,180.0,1.0,N,1,1,1,1,0,2
242,LP001806,2965,5701.0,155.0,60.0,1.0,Y,1,0,0,0,0,2
243,LP001807,6250,1300.0,108.0,360.0,1.0,Y,1,1,2,0,1,0
244,LP001811,3406,4417.0,123.0,360.0,1.0,Y,1,1,0,1,0,1
245,LP001813,6050,4333.0,120.0,180.0,1.0,N,1,0,0,0,1,2
246,LP001814,9703,0.0,112.0,360.0,1.0,Y,1,1,2,0,0,2
247,LP001819,6608,0.0,137.0,180.0,1.0,Y,1,1,1,1,0,2
248,LP001824,2882,1843.0,123.0,480.0,1.0,Y,1,1,1,0,0,1
249,LP001825,1809,1868.0,90.0,360.0,1.0,Y,1,1,0,0,0,2
250,LP001835,1668,3890.0,201.0,360.0,0.0,N,1,1,0,1,0,1
251,LP001836,3427,0.0,138.0,360.0,1.0,N,0,0,2,0,0,2
252,LP001841,2583,2167.0,104.0,360.0,1.0,Y,1,0,0,1,1,0
253,LP001843,2661,7101.0,279.0,180.0,1.0,Y,1,1,1,1,0,1
254,LP001844,16250,0.0,192.0,360.0,0.0,N,1,0,0,0,1,2
255,LP001846,3083,0.0,255.0,360.0,1.0,Y,0,0,3,0,0,0
256,LP001849,6045,0.0,115.0,360.0,0.0,N,1,0,0,1,0,0
257,LP001854,5250,0.0,94.0,360.0,1.0,N,1,1,3,0,0,2
258,LP001859,14683,2100.0,304.0,360.0,1.0,N,1,1,0,0,0,0
259,LP001864,4931,0.0,128.0,360.0,0.8421985815602837,N,1,1,3,1,0,1
260,LP001865,6083,4250.0,330.0,360.0,0.8421985815602837,Y,1,1,1,0,0,2
261,LP001868,2060,2209.0,134.0,360.0,1.0,Y,1,0,0,0,0,1
262,LP001870,3481,0.0,155.0,36.0,1.0,N,0,0,1,0,0,1
263,LP001871,7200,0.0,120.0,360.0,1.0,Y,0,0,0,0,0,0
264,LP001872,5166,0.0,128.0,360.0,1.0,Y,1,0,0,0,1,1
265,LP001875,4095,3447.0,151.0,360.0,1.0,Y,1,0,0,0,0,0
266,LP001877,4708,1387.0,150.0,360.0,1.0,Y,1,1,2,0,0,1
267,LP001882,4333,1811.0,160.0,360.0,0.0,Y,1,1,3,0,0,2
268,LP001883,3418,0.0,135.0,360.0,1.0,N,0,0,0,0,0,0
269,LP001884,2876,1560.0,90.0,360.0,1.0,Y,0,0,1,0,0,2
270,LP001888,3237,0.0,30.0,360.0,1.0,Y,0,0,0,0,0,2
271,LP001891,11146,0.0,136.0,360.0,1.0,Y,1,1,0,0,0,2
272,LP001892,2833,1857.0,126.0,360.0,1.0,Y,1,0,0,0,0,0
273,LP001894,2620,2223.0,150.0,360.0,1.0,Y,1,1,0,0,0,1
274,LP001896,3900,0.0,90.0,360.0,1.0,Y,1,1,2,0,0,1
275,LP001900,2750,1842.0,115.0,360.0,1.0,Y,1,1,1,0,0,1
276,LP001903,3993,3274.0,207.0,360.0,1.0,Y,1,1,0,0,0,1
277,LP001904,3103,1300.0,80.0,360.0,1.0,Y,1,1,0,0,0,2
278,LP001907,14583,0.0,436.0,360.0,1.0,Y,1,1,0,0,0,1
279,LP001908,4100,0.0,124.0,360.0,0.8421985815602837,Y,0,1,0,1,0,0
280,LP001910,4053,2426.0,158.0,360.0,0.0,N,1,0,1,1,1,2
281,LP001914,3927,800.0,112.0,360.0,1.0,Y,1,1,0,0,0,1
282,LP001915,2301,985.7999877999998,78.0,180.0,1.0,Y,1,1,2,0,0,2
283,LP001917,1811,1666.0,54.0,360.0,1.0,Y,0,0,0,0,0,2
284,LP001922,20667,0.0,146.41216216216216,360.0,1.0,N,1,1,0,0,0,0
285,LP001924,3158,3053.0,89.0,360.0,1.0,Y,1,0,0,0,0,0
286,LP001925,2600,1717.0,99.0,300.0,1.0,N,0,0,0,0,1,1
287,LP001926,3704,2000.0,120.0,360.0,1.0,Y,1,1,0,0,0,0
288,LP001931,4124,0.0,115.0,360.0,1.0,Y,0,0,0,0,0,1
289,LP001935,9508,0.0,187.0,360.0,1.0,Y,1,0,0,0,0,0
290,LP001936,3075,2416.0,139.0,360.0,1.0,Y,1,1,0,0,0,0
291,LP001938,4400,0.0,127.0,360.0,0.0,N,1,1,2,0,0,1
292,LP001940,3153,1560.0,134.0,360.0,1.0,Y,1,1,2,0,0,2
293,LP001945,5417,0.0,143.0,480.0,0.0,N,0,0,0,0,0,2
294,LP001947,2383,3334.0,172.0,360.0,1.0,Y,1,1,0,0,0,1
295,LP001949,4416,1250.0,110.0,360.0,1.0,Y,1,1,3,0,0,2
296,LP001953,6875,0.0,200.0,360.0,1.0,Y,1,1,1,0,0,1
297,LP001954,4666,0.0,135.0,360.0,1.0,Y,0,1,1,0,0,2
298,LP001955,5000,2541.0,151.0,480.0,1.0,N,0,0,0,0,0,0
299,LP001963,2014,2925.0,113.0,360.0,1.0,N,1,1,1,0,0,2
300,LP001964,1800,2934.0,93.0,360.0,0.0,N,1,1,0,1,0,2
301,LP001972,2875,1750.0,105.0,360.0,1.0,Y,1,1,0,1,0,1
302,LP001974,5000,0.0,132.0,360.0,1.0,Y,0,0,0,0,0,0
303,LP001977,1625,1803.0,96.0,360.0,1.0,Y,1,1,1,0,0,2
304,LP001978,4000,2500.0,140.0,360.0,1.0,Y,1,0,0,0,0,0
305,LP001990,2000,0.0,146.41216216216216,360.0,1.0,N,1,0,0,1,0,2
